sku,compatible_with,manufacturer
C-0453,,ESWOOD
,,
,,
,,
,,
01-240372-1,"HOBART 01-240372-001, 01-240372-1, 01-240076-002, 01-240076-2",HOBART
,,
,,
46631,ELECTROLUX 0H2542,ZANUSSI
,,
,,
48308,ELECTROLUX  048308,ZANUSSI
,,
,,
107012,10.70.12 ESWOOD SMARTWASH 900,"ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
144021,14.40.21 ESWOOD SMARTWASH 900,"ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
144032,14.40.32 ESWOOD SMARTWASH 900,"ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
161301,C161301 WASHTECH,WASHTECH
,,
,,
161303,30664 WASHTECH,WASHTECH
,,
,,
25010,,BRACTON
,,
,,
417120,41.71.20 ESWOOD SMARTWASH 900,"ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
437098,43.70.98 ESWOOD SMARTWASH 900,"ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
98.40.05,,
,,
,,
984001,"139321-47 HOBART, 12134442 FAGOR, Z203011000 FAGOR","HOBART, FAGOR"
,,
,,
984005,98.40.05 SMARTWASH,"HOBART, EUROWASH"
,,
,,
01-297813-5,,HOBART
,,
,,
10.40.56,,
,,
,,
10.40.60,,
10.40.61,,
,,
,,
104056,10.40.56 ESWOOD SMARTWASH 400,"HOBART, ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
,,
104060,10.40.60 ESWOOD SMARTWASH 500,"HOBART, ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
,,
104061,,"ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
330342,"330307 COMENDA, 330331 COMENDA",COMENDA
,,
,,
34A2560,22002 RHIMA,"ANGELO PO, RHIMMA"
,,
,,
7152011,,
,,
,,
80582,,HOBART
,,
,,
926026,DAB290 HOBART,HOBART
,,
,,
GB11NT,GB11NTM IME OMNIWASH,OMNIWASH
,,
Z201710,"Z201710000 FAGOR, 12022943 FAGOR, 1200005017 FAGOR",FAGOR
,,
,,
Z401730,"Z401730000 FAGOR, 12022893 FAGOR, 1200002017 FAGOR",FAGOR
,,
,,
48325,0L1629 ELECTROLUX,ZANUSSI/ELECTROLUX
,,
,,
048430-1,"049600 ZANUSSI, 049600 ELECTROLUX",ZANUSSI/ELECTROLUX
,,
,,
054-70-123,,NORRIS
,,
,,
054-71-606,,NORRIS
,,
,,
0L0051,,ZANUSSI/ELECTROLUX
,,
,,
11.51.43,,
,,
,,
11.51.49,,
,,
,,
115074,REB115074 HOBART,HOBART
,,
,,
115075,REB115075 HOBART,HOBART
,,
,,
115076,DAS2596 HOBART,HOBART
,,
,,
115131,115113 HOBART,HOBART
,,
,,
115149,11.51.49 ESWOOD SMARTWASH,"ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
135250,,RHIMA
,,
,,
,,
136020,80458 HOBART,HOBART
,,
,,
136030,13.60.30 SMARTWASH,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
417125,41.71.25 ESWOOD SMARTWASH 900,"ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
143263,,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
,,
15041A,50020119 RHIMA,RHIMA
,,
,,
172694,,HOBART
,,
,,
172695,,HOBART
,,
,,
191025,C191025 WASHTEC,WASHTECH
,,
,,
22-054,,NORRIS
,,
,,
22-055,,NORRIS
,,
,,
228536,,HOBART
,,
,,
4206301,,HOBART
,,
,,
429073,42.90.73 ESWOOD SMARTWASH ,"ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH, HOBART"
,,
,,
,,
441009,44.10.09 ESWOOD SMARTWASH,"HOBART, NORRIS MADISON, ESWOOD SMARTWASH"
,,
,,
478059,,HOBART
,,
,,
55-514,USE WITH SERIAL NUMBERS 30166-1004136,NORRIS
,,
,,
55-515,USE WITH SERIAL NUMBERS 30166-1004136,NORRIS
,,
,,
55-706,,NORRIS
,,
,,
55-707,,NORRIS
,,
,,
7.30.61,,ESWOOD SMARTWASH
,,
,,
80174,8.01.74 ESWOOD SMARTWASH,"HOBART, ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
80177,8.01.77 ESWOOD SMARTWASH,"HOBART, NORRIS MADISON, ESWOOD SMARTWASH"
,,
,,
80179,,"HOBART, NORRIS MADISON"
,,
,,
80181,,"HOBART, NORRIS MADISON"
,,
,,
80186,,HOBART
